ECPTCL_FID;EVENT_TYPE_NM;date;établissement_postal;EVENT_TYPE_CD;next_établissement_postal
AEDXBADZAAEDACN45059001000161;Expédition de récipient à l'étranger (PREDES EDI-reçu);2024-11-09 14:25:00.000;ÉMIRATS ARABES UNIS;107;ALGÉRIE
AEDXBADZAAEDACN45059001000161;Réception de récipient de l'étranger (Ent);2024-11-13 09:02:50.607;AEROPOSTAL HOUARI BOUMEDIENE;130;NULL
AEDXBADZAAEDACN45059001000161;Expédition de récipient à une adresse nationale (Ent);2024-11-13 09:13:00.290;AEROPOSTAL HOUARI BOUMEDIENE;132;ALGER COLIS POSTAUX
AEDXBADZAAEDACN45059001000161;Expédition de récipient à une adresse nationale (Ent);2024-11-14 07:42:19.890;ALGER COLIS POSTAUX;132;ANNABA EL MARSA
AEDXBADZAAEDACN45059002000176;Expédition de récipient à l'étranger (PREDES EDI-reçu);2024-11-09 14:25:00.000;ÉMIRATS ARABES UNIS;107;ALGÉRIE
AEDXBADZAAEDACN45059002000176;Réception de récipient de l'étranger (Ent);2024-11-13 09:02:55.333;AEROPOSTAL HOUARI BOUMEDIENE;130;NULL
AEDXBADZAAEDACN45059002000176;Expédition de récipient à une adresse nationale (Ent);2024-11-13 09:12:52.597;AEROPOSTAL HOUARI BOUMEDIENE;132;ALGER COLIS POSTAUX
AEDXBADZAAEDACN45059002000176;Expédition de récipient à une adresse nationale (Ent);2024-11-14 07:42:15.383;ALGER COLIS POSTAUX;132;ANNABA EL MARSA
AEDXBADZAAEDACN45059003000156;Expédition de récipient à l'étranger (PREDES EDI-reçu);2024-11-09 14:25:00.000;ÉMIRATS ARABES UNIS;107;ALGÉRIE
AEDXBADZAAEDACN45059003000156;Réception de récipient de l'étranger (Ent);2024-11-13 09:04:12.417;AEROPOSTAL HOUARI BOUMEDIENE;130;NULL
AEDXBADZAAEDACN45059003000156;Expédition de récipient à une adresse nationale (Ent);2024-11-13 09:11:33.593;AEROPOSTAL HOUARI BOUMEDIENE;132;ALGER COLIS POSTAUX
AEDXBADZAAEDACN45059003000156;Expédition de récipient à une adresse nationale (Ent);2024-11-14 07:42:42.090;ALGER COLIS POSTAUX;132;ANNABA EL MARSA
AEDXBADZAAEDACN45059004000171;Expédition de récipient à l'étranger (PREDES EDI-reçu);2024-11-09 14:25:00.000;ÉMIRATS ARABES UNIS;107;ALGÉRIE
AEDXBADZAAEDACN45059004000171;Réception de récipient de l'étranger (Ent);2024-11-13 09:02:52.333;AEROPOSTAL HOUARI BOUMEDIENE;130;NULL
AEDXBADZAAEDACN45059004000171;Expédition de récipient à une adresse nationale (Ent);2024-11-13 09:12:56.500;AEROPOSTAL HOUARI BOUMEDIENE;132;ALGER COLIS POSTAUX
AEDXBADZAAEDACN45059004000171;Expédition de récipient à une adresse nationale (Ent);2024-11-14 07:42:27.287;ALGER COLIS POSTAUX;132;ANNABA EL MARSA
AEDXBADZAAEDACN45059005000171;Expédition de récipient à l'étranger (PREDES EDI-reçu);2024-11-09 14:25:00.000;ÉMIRATS ARABES UNIS;107;ALGÉRIE
AEDXBADZAAEDACN45059005000171;Réception de récipient de l'étranger (Ent);2024-11-13 09:04:10.407;AEROPOSTAL HOUARI BOUMEDIENE;130;NULL
