601;FR;Fermer récipient intérieur
602;FR;Rouvrir récipient intérieur
603;FR;Expédition de récipient intérieur au lieu
604;FR;Recevoir récipient intérieur à cet endroit
605;FR;Modifier expédition intérieure
700;FR;Créer dépêche intérieure
701;FR;Fermer dépêche intérieure
702;FR;Rouvrir dépêche intérieure
703;FR;Marquer dépêche intérieure comme supprimée
730;FR;Créer expédition intérieure
731;FR;Fermer expédition intérieure
732;FR;Rouvrir expédition intérieure
734;FR;Marquer expédition comme supprimée
750;FR;EDI reçu
751;FR;Créer/mettre à jour conteneur
752;FR;Recevoir conteneur (Ent)
753;FR;Ouvrir conteneur (Ent)
754;FR;Scanné à transporter
800;FR;Création/mise à jour automatique à partir du processus de srt
801;FR;Création/mise à jour à partir de saisie de document
802;FR;Modification par BV
803;FR;Marquer comme supprimé
804;FR;Doc comptable avec formulaire comptable
805;FR;Modification (admin) selon saisie doc
806;FR;Création/mise à jour automatique à partir de PREDES
807;FR;Création automatique à partir d'estimation
808;FR;Modification (admin) selon BV
809;FR;Explicable, pas dans formulaire
810;FR;Validation de document
811;FR;Invalidation de document
812;FR;Modifier ident
850;FR;Créer relevé
851;FR;Envoyer relevé
852;FR;Accuser réception du relevé
854;FR;Paiement reçu
855;FR;Marquer relevé comme supprimé
856;FR;Mettre à jour relevé
900;FR;Créer réclamation (Srt)
901;FR;Mettre à jour réclamation (Srt)
902;FR;Envoyer réclamation (Srt)
903;FR;Envoyer copie de réclamation (Srt)
904;FR;Réception de commentaire (Srt)
905;FR;Réception de réponse finale (Srt)
910;FR;Réception de réclamation (Ent)
911;FR;Mettre à jour réclamation (Ent)
912;FR;Envoi de commentaire (Ent)
913;FR;Envoi de réponse finale (Ent)
914;FR;Enregistrer réclamation avec formulaire officiel
915;FR;Modifier réclamation après enregistrement
920;FR;Marquer réclamation comme supprimée
950;FR;Générer
951;FR;Recevoir
952;FR;Création automatique 'à partir de dépêches sortantes validées'
953;FR;Mettre à jour
954;FR;Contester
955;FR;Accepter
956;FR;Marquer comme supprimé
957;FR;Compte
958;FR;Modification après enregistrement
959;FR;Créer à partir de SAP
961;FR;Exporter vers SAP
980;FR;Créer/mettre à jour
981;FR;Créer à partir de SAP
983;FR;Contester
984;FR;Accepter
985;FR;Exporter vers SAP
986;FR;Marquer comme supprimé
999;FR;Inutilisé
1000;FR;Manifeste : réception d'envoi du client (Srt)
1001;FR;Manifeste : insertion d'envoi dans sac (Srt)
1100;FR;Manifeste : fermer récipient (Srt)
1101;FR;Manifeste : récipient envoyé du bureau (Srt)
1102;FR;Générer avis d'arrivée
1103;EN;Avis arrivée imprimé
1104;EN;Avis arrive imprim
